Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
92,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",507.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
93,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",504.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
94,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",500.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
95,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",496.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
96,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",492.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=0",,,,,,
97,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",490.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=900m",,,,,,
98,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",486.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=0",,,,,,
99,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",482.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=900m",,,,,,
100,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",478.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=0",,,,,,
101,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",476.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=900m",,,,,,
102,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",472.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=0",,,,,,
103,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",469.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
104,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",466.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=0",,,,,,
105,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",464.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=900m",,,,,,
106,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",460.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=0",,,,,,
107,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",457.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
108,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",454.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=0",,,,,,
109,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",452.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
