Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
95,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",520.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
96,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",516e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=0",,,,,,
97,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",513.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=900m",,,,,,
98,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",508.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=0",,,,,,
99,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",504.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=900m",,,,,,
100,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",500.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=0",,,,,,
101,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",497.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=900m",,,,,,
102,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",493e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=0",,,,,,
103,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",489.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
104,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",485.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=0",,,,,,
105,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",483.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=900m",,,,,,
106,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",479.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=0",,,,,,
107,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",476.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
108,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",472.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=0",,,,,,
109,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",469.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
110,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",466.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
111,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",463.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
112,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",459.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=0",,,,,,
113,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",458.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=900m",,,,,,
114,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",454.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=0",,,,,,
115,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",451.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
116,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",448.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=0",,,,,,
117,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",446.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
118,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",443e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
119,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",440.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
120,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",437.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=0",,,,,,
121,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",435.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
122,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",432.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
123,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",429.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
124,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",426.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
125,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",424.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
126,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",421.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
127,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",418.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
128,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",415.7e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
129,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",437.3e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
130,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",433.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
131,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",430e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
132,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",425.7e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
133,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",423.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
134,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",418.9e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
135,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",415.6e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
136,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",411.6e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
137,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",409.7e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
138,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",405.5e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
139,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",402.1e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
140,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",398.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
141,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",395.4e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
142,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",391.5e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
143,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",388.1e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
144,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",384.2e-3,,,
