Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
720,C1,720,,439.7e-3
721,C1,721,,438.4e-3
722,C1,722,,437.4e-3
723,C1,723,,440.2e-3
724,C1,724,,440.2e-3
725,C1,725,,440.8e-3
726,C1,726,,437.7e-3
727,C1,727,,439.4e-3
728,C1,728,,438.8e-3
729,C1,729,,438.5e-3
730,C1,730,,439.5e-3
731,C1,731,,439.3e-3
732,C1,732,,438.6e-3
733,C1,733,,439.4e-3
734,C1,734,,439.5e-3
735,C1,735,,440e-3
736,C1,736,,440.3e-3
737,C1,737,,438.8e-3
738,C1,738,,440.2e-3
739,C1,739,,439.9e-3
740,C1,740,,439.9e-3
741,C1,741,,439.5e-3
742,C1,742,,437.5e-3
743,C1,743,,439.5e-3
744,C1,744,,439.2e-3
745,C1,745,,439.6e-3
746,C1,746,,440.1e-3
747,C1,747,,439.2e-3
748,C1,748,,439.4e-3
749,C1,749,,439e-3
750,C1,750,,439.8e-3
751,C1,751,,439.5e-3
752,C1,752,,438.2e-3
753,C1,753,,439.4e-3
754,C1,754,,439.4e-3
755,C1,755,,440.1e-3
756,C1,756,,437.8e-3
757,C1,757,,440e-3
758,C1,758,,439.8e-3
759,C1,759,,439.6e-3
760,C1,760,,440.7e-3
761,C1,761,,439.3e-3
762,C1,762,,438.1e-3
763,C1,763,,440.9e-3
764,C1,764,,439.3e-3
765,C1,765,,439.1e-3
766,C1,766,,439.2e-3
767,C1,767,,440e-3
768,C1,768,,439.6e-3
769,C1,769,,437.3e-3
770,C1,770,,439.8e-3
771,C1,771,,439.4e-3
772,C1,772,,440.2e-3
773,C1,773,,439.5e-3
774,C1,774,,439.1e-3
775,C1,775,,439.7e-3
776,C1,776,,437.9e-3
777,C1,777,,437.8e-3
778,C1,778,,438.7e-3
779,C1,779,,439.9e-3
780,C1,780,,439.1e-3
781,C1,781,,440.1e-3
782,C1,782,,440.2e-3
783,C1,783,,439.2e-3
784,C1,784,,438.6e-3
785,C1,785,,439.9e-3
786,C1,786,,440.3e-3
787,C1,787,,438.8e-3
788,C1,788,,438.2e-3
789,C1,789,,440.2e-3
790,C1,790,,439.2e-3
791,C1,791,,438.7e-3
792,C1,792,,440.6e-3
793,C1,793,,438e-3
794,C1,794,,438.5e-3
795,C1,795,,439.5e-3
796,C1,796,,438.5e-3
797,C1,797,,439e-3
798,C1,798,,439.7e-3
799,C1,799,,440.8e-3
800,C1,800,,437.8e-3
801,C1,801,,440.4e-3
802,C1,802,,439.6e-3
803,C1,803,,438.6e-3
804,C1,804,,439.1e-3
805,C1,805,,441.5e-3
806,C1,806,,439.2e-3
807,C1,807,,439e-3
808,C1,808,,441e-3
809,C1,809,,439.3e-3
810,C1,810,,438.2e-3
811,C1,811,,439.7e-3
812,C1,812,,439.1e-3
813,C1,813,,438.3e-3
814,C1,814,,439.4e-3
815,C1,815,,440e-3
816,C1,816,,440e-3
817,C1,817,,438.4e-3
818,C1,818,,440.7e-3
819,C1,819,,440.2e-3
820,C1,820,,440.3e-3
821,C1,821,,439.6e-3
822,C1,822,,439.6e-3
823,C1,823,,438.1e-3
824,C1,824,,439.2e-3
825,C1,825,,439.7e-3
826,C1,826,,439.3e-3
827,C1,827,,438.9e-3
828,C1,828,,438.2e-3
829,C1,829,,440.3e-3
830,C1,830,,438.6e-3
831,C1,831,,439.6e-3
832,C1,832,,441.1e-3
833,C1,833,,438.1e-3
834,C1,834,,438.6e-3
835,C1,835,,439.5e-3
836,C1,836,,439.4e-3
837,C1,837,,439.8e-3
838,C1,838,,440.9e-3
839,C1,839,,436.9e-3
840,C1,840,,438e-3
841,C1,841,,440e-3
842,C1,842,,440.7e-3
843,C1,843,,439e-3
844,C1,844,,439e-3
845,C1,845,,440.5e-3
846,C1,846,,440.9e-3
847,C1,847,,437.6e-3
848,C1,848,,439.8e-3
849,C1,849,,440.1e-3
850,C1,850,,440.5e-3
851,C1,851,,439e-3
852,C1,852,,437.1e-3
853,C1,853,,439.8e-3
854,C1,854,,439.8e-3
855,C1,855,,439.9e-3
856,C1,856,,440.8e-3
857,C1,857,,437.6e-3
858,C1,858,,439.5e-3
859,C1,859,,439.4e-3
860,C1,860,,440.6e-3
861,C1,861,,439.9e-3
862,C1,862,,438.2e-3
863,C1,863,,440.8e-3
864,C1,864,,438.8e-3
865,C1,865,,439.5e-3
866,C1,866,,439.5e-3
867,C1,867,,438.4e-3
868,C1,868,,438.8e-3
869,C1,869,,439.9e-3
870,C1,870,,439.8e-3
871,C1,871,,438.9e-3
872,C1,872,,439.6e-3
873,C1,873,,439.1e-3
874,C1,874,,439.9e-3
875,C1,875,,440.7e-3
876,C1,876,,439.4e-3
877,C1,877,,438.7e-3
878,C1,878,,438.6e-3
879,C1,879,,440e-3
880,C1,880,,439e-3
881,C1,881,,437.9e-3
882,C1,882,,439.6e-3
883,C1,883,,438.6e-3
884,C1,884,,440.6e-3
885,C1,885,,438.3e-3
886,C1,886,,439.2e-3
887,C1,887,,439.6e-3
888,C1,888,,439.2e-3
889,C1,889,,439.2e-3
890,C1,890,,440.3e-3
891,C1,891,,438.2e-3
892,C1,892,,439.1e-3
893,C1,893,,440.6e-3
894,C1,894,,440.2e-3
895,C1,895,,438.6e-3
896,C1,896,,439.1e-3
897,C1,897,,438.7e-3
898,C1,898,,439.7e-3
899,C1,899,,441.2e-3
900,C1,900,,440.2e-3
901,C1,901,,439e-3
902,C1,902,,438.6e-3
903,C1,903,,438.7e-3
904,C1,904,,438.6e-3
905,C1,905,,439.5e-3
906,C1,906,,439.8e-3
907,C1,907,,439.2e-3
908,C1,908,,439.3e-3
909,C1,909,,440.1e-3
910,C1,910,,439.2e-3
911,C1,911,,439.8e-3
912,C1,912,,437.7e-3
913,C1,913,,439.6e-3
914,C1,914,,441.3e-3
915,C1,915,,439.1e-3
916,C1,916,,438.7e-3
917,C1,917,,440.4e-3
918,C1,918,,438.9e-3
919,C1,919,,439.8e-3
920,C1,920,,439.9e-3
921,C1,921,,439.9e-3
922,C1,922,,438.2e-3
923,C1,923,,439.7e-3
924,C1,924,,438.7e-3
925,C1,925,,438.5e-3
926,C1,926,,439.7e-3
927,C1,927,,440.7e-3
928,C1,928,,437.9e-3
929,C1,929,,439.1e-3
930,C1,930,,440.9e-3
931,C1,931,,440.1e-3
