Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
629,C3,629,,877.5e-3
630,C3,630,,877.4e-3
631,C3,631,,876.5e-3
632,C3,632,,877.5e-3
633,C3,633,,877e-3
634,C3,634,,876.2e-3
635,C3,635,,877.2e-3
636,C3,636,,877.3e-3
637,C3,637,,876.8e-3
638,C3,638,,876.9e-3
639,C3,639,,877.5e-3
640,C3,640,,877.2e-3
641,C3,641,,877.6e-3
642,C3,642,,877.4e-3
643,C3,643,,876.8e-3
644,C3,644,,876.7e-3
645,C3,645,,877.2e-3
646,C3,646,,877.5e-3
647,C3,647,,877.2e-3
648,C3,648,,877.2e-3
649,C3,649,,876.4e-3
650,C3,650,,876.9e-3
651,C3,651,,877.4e-3
652,C3,652,,877.6e-3
653,C3,653,,877.1e-3
654,C3,654,,876.7e-3
655,C3,655,,877.4e-3
656,C3,656,,877.6e-3
657,C3,657,,877e-3
658,C3,658,,876.6e-3
659,C3,659,,877.3e-3
660,C3,660,,877.3e-3
661,C3,661,,877e-3
662,C3,662,,877.3e-3
663,C3,663,,875.9e-3
664,C3,664,,876.9e-3
665,C3,665,,877.3e-3
666,C3,666,,877.5e-3
667,C3,667,,877e-3
668,C3,668,,877e-3
669,C3,669,,877.6e-3
670,C3,670,,877.3e-3
671,C3,671,,876.5e-3
672,C3,672,,876.2e-3
673,C3,673,,877.3e-3
674,C3,674,,876.8e-3
675,C3,675,,877.3e-3
676,C3,676,,877.4e-3
677,C3,677,,876.8e-3
678,C3,678,,877e-3
679,C3,679,,877.5e-3
680,C3,680,,876.6e-3
681,C3,681,,877.3e-3
682,C3,682,,877.4e-3
683,C3,683,,876.9e-3
684,C3,684,,877.2e-3
685,C3,685,,877.5e-3
686,C3,686,,877.3e-3
687,C3,687,,877e-3
688,C3,688,,877.1e-3
689,C3,689,,877.4e-3
690,C3,690,,877.3e-3
691,C3,691,,876.8e-3
692,C3,692,,876.9e-3
693,C3,693,,877.5e-3
694,C3,694,,877.5e-3
695,C3,695,,877.1e-3
696,C3,696,,877.4e-3
697,C3,697,,876.8e-3
698,C3,698,,877.1e-3
699,C3,699,,877.6e-3
700,C3,700,,877.3e-3
701,C3,701,,877.1e-3
702,C3,702,,876.6e-3
703,C3,703,,877.2e-3
704,C3,704,,876.8e-3
705,C3,705,,877.5e-3
706,C3,706,,877.6e-3
707,C3,707,,877.1e-3
708,C3,708,,877e-3
709,C3,709,,877.3e-3
710,C3,710,,877.2e-3
711,C3,711,,876.4e-3
712,C3,712,,877.4e-3
